timestamp,iface,carrier,speed_mbps,temp_c,frame_err_ppm,length_err_ppm,rx_err_ppm,speed_change_count_10m,speed_is_downgraded,has_phy_stats,phy_receive_errors_rate,phy_idle_errors_rate,phy_serdes_ber_errors_rate,phy_false_carrier_sense_errors_rate,phy_local_rcvr_nok_rate,phy_remote_rcv_nok_rate,phy_receive_errors_copper,phy_idle_errors,link_flap,time_since_last_link_down,fcs_rate,fcs_per_million_pkts,rx_error_rate,tx_error_rate,bad_octets_rate,fragment_rate,jabber_rate,oversize_rate,undersize_rate,port_discards_rate,host_rx_drop_rate,host_tx_drop_rate,tx_dropped_rate,host_rx_crc_rate,rx_bps,tx_bps,pps,utilization,mean_fcs_per_million,max_fcs_per_million,mean_phy_rxerr,max_phy_rxerr,mean_discards,max_discards,flaps_10m_mean,flaps_1h_mean,mean_utilization,mean_temp,temp_delta_10m,temp_slope_10m
167289.292206644,eth0,1,100,28.7,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,7500.890001417982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.2821173414068,0.16664816377940994,4.6128211734140676e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5054825112215489,30.625,-1.6500000000000021,-0.0027500000000000037
167349.298834126,eth0,1,100,28.15,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,7560.8966288999945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.15414288975734,0.14998343312491233,4.151541428897574e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5054824650943457,30.405,-2.200000000000003,-0.0036666666666666714
167409.30555148,eth0,1,100,28.15,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,7620.903346253996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6764898.896322206,167899.86928568807,854.2876907860381,0.06932798765607893,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.42402993724795607,30.185,-3.8500000000000014,-0.006416666666666669
167469.313697536,eth0,1,100,30.9,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,7680.911492309999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98696085.33602598,2433941.5495971423,12431.495539018933,1.0113002688562314,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4240596949270275,30.075,-2.200000000000003,-0.0036666666666666714
167529.321536186,eth0,1,100,31.45,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,7740.919330959994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98696388.55923791,2430219.3060241337,12426.093270067431,1.0112660786526204,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4240513122705504,29.91,-0.5500000000000007,-0.0009166666666666678
167589.329170428,eth0,1,100,31.45,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,7800.926965202001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98695906.72604914,2419565.7408263762,12408.554501532963,1.0111547246687553,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4240473828999242,29.855,0.5500000000000007,0.0009166666666666678
167649.336586059,eth0,1,100,32.0,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,7860.934380833001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98697286.68901992,2333062.8477803436,12274.916229178103,1.0103034953680026,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4239905277676131,29.965,0.5500000000000007,0.0009166666666666678
167709.344222097,eth0,1,100,30.9,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,7920.942016870977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91888216.56814669,2119303.481968841,11350.355470909846,0.9400752005011552,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5053445745679862,29.91,2.1999999999999993,0.0036666666666666653
167769.352515357,eth0,1,100,30.35,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,7980.950310130982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.26957619120185,0.16664363301705268,4.612695761912018e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5053445745558416,30.075,1.6500000000000021,0.0027500000000000037
167829.359376322,eth0,1,100,29.25,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,8040.957171096001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.2805861672405,0.1666476106095522,4.6128058616724045e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.505344574556707,30.13,0.5500000000000007,0.0009166666666666678
